,Player
920,brandon sutter
921,nick suzuki
922,andrei svechnikov
923,evgeny svechnikov
924,brandon tanev
925,chris tanev
926,vladimir tarasenko
927,tomas tatar
928,john tavares
929,matt tennyson
930,teuvo teravainen
931,troy terry
932,alexandre texier
933,shea theodore
934,ben thomas
935,robert thomas
936,nate thompson
937,tage thompson
938,tyce thompson
939,joe thornton
940,chris tierney
941,dmytro timashov
942,conor timmins
943,jarred tinordi
944,jarred tinordi
945,jarred tinordi
946,owen tippett
947,brady tkachuk
948,matthew tkachuk
949,devon toews
950,tyler toffoli
951,eeli tolvanen
952,dominic toninato
953,yakov trenin
954,vincent trocheck
955,jacob trouba
956,alexander true
957,alex tuch
958,kyle turris
959,carsen twarynski
960,urho vaakanainen
961,juuso valimaki
962,james van riemsdyk
963,trevor van riemsdyk
964,sami vatanen
965,sami vatanen
966,sami vatanen
967,frank vatrano
968,joe veleno
969,carter verhaeghe
970,kristian vesalainen
971,jimmy vesey
972,jimmy vesey
973,jimmy vesey
974,jeffrey viel
975,gabriel vilardi
976,jake virtanen
977,marc-edouard vlasic
978,alexander volkov
979,alexander volkov
980,alexander volkov
981,jakub voracek
982,jakub vrana
983,jakub vrana
984,jakub vrana
985,austin wagner
986,chris wagner
987,oliver wahlstrom
988,daniel walcott
989,nathan walker
990,sean walker
991,lucas wallmark
992,lucas wallmark
993,lucas wallmark
994,jake walman
995,austin watson
996,shea weber
997,yannick weber
998,mackenzie weegar
999,andy welinski
1000,alexander wennberg
1001,zach werenski
1002,blake wheeler
1003,colin white
1004,colton white
1005,zach whitecloud
1006,tom wilson
1007,christian wolanin
1008,christian wolanin
1009,christian wolanin
1010,miles wood
1011,kailer yamamoto
1012,keith yandle
1013,jesse ylönen
1014,cameron york
1015,pavel zacha
1016,filip zadina
1017,nikita zadorov
1018,nikita zaitsev
1019,travis zajac
1020,travis zajac
1021,travis zajac
1022,yegor zamula
1023,jakub zboril
1024,trevor zegras
1025,mika zibanejad
1026,radim zohorna
1027,artem zub
1028,mats zuccarello
1029,jason zucker
